service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
c_71714_b_86118_d_64,05/14/2026 - 05/18/2026 (Sunday only),0,0,0,0,0,0,1,20260514,20260518
c_71714_b_86118_d_57,05/14/2026 - 05/18/2026 (MThFSa),1,0,0,1,1,1,0,20260514,20260518
c_71714_b_86118_d_33,05/14/2026 - 05/18/2026 (MSa),1,0,0,0,0,1,0,20260514,20260518
c_71714_b_86118_d_32,05/14/2026 - 05/18/2026 (Saturday only),0,0,0,0,0,1,0,20260514,20260518
c_71714_b_86118_d_25,05/14/2026 - 05/18/2026 (MThF),1,0,0,1,1,0,0,20260514,20260518
c_71714_b_86118_d_24,05/14/2026 - 05/18/2026 (ThF),0,0,0,1,1,0,0,20260514,20260518
c_71714_b_86118_d_121,05/14/2026 - 05/18/2026 (MThFSaSu),1,0,0,1,1,1,1,20260514,20260518
c_71714_b_86118_d_120,05/14/2026 - 05/18/2026 (ThFSaSu),0,0,0,1,1,1,1,20260514,20260518
c_71713_b_86117_d_71,05/09/2026 - 05/13/2026 (MTuWSu),1,1,1,0,0,0,1,20260509,20260513
c_71713_b_86117_d_7,05/09/2026 - 05/13/2026 (MTuW),1,1,1,0,0,0,0,20260509,20260513
c_71713_b_86117_d_64,05/09/2026 - 05/13/2026 (Sunday only),0,0,0,0,0,0,1,20260509,20260513
c_71713_b_86117_d_39,05/09/2026 - 05/13/2026 (MTuWSa),1,1,1,0,0,1,0,20260509,20260513
c_71713_b_86117_d_32,05/09/2026 - 05/13/2026 (Saturday only),0,0,0,0,0,1,0,20260509,20260513
c_71713_b_86117_d_103,05/09/2026 - 05/13/2026 (MTuWSaSu),1,1,1,0,0,1,1,20260509,20260513
c_71711_b_86115_d_28,03/18/2026 - 03/20/2026 (WThF),0,0,1,1,1,0,0,20260318,20260320
c_71709_b_86120_d_71,Academic Spring 2026 (MTuWSu),1,1,1,0,0,0,1,20260322,20260508
c_71709_b_86120_d_64,Academic Spring 2026 (Sunday only),0,0,0,0,0,0,1,20260322,20260508
c_71709_b_86120_d_56,Academic Spring 2026 (ThFSa),0,0,0,1,1,1,0,20260322,20260508
c_71709_b_86120_d_32,Academic Spring 2026 (Saturday only),0,0,0,0,0,1,0,20260322,20260508
c_71709_b_86120_d_31,Academic Spring 2026 (Weekday),1,1,1,1,1,0,0,20260322,20260508
c_71709_b_86120_d_127,Academic Spring 2026 (All days of week),1,1,1,1,1,1,1,20260322,20260508
c_71709_b_86114_d_71,Academic Spring 2026 (MTuWSu),1,1,1,0,0,0,1,20260126,20260313
c_71709_b_86114_d_64,Academic Spring 2026 (Sunday only),0,0,0,0,0,0,1,20260126,20260313
c_71709_b_86114_d_56,Academic Spring 2026 (ThFSa),0,0,0,1,1,1,0,20260126,20260313
c_71709_b_86114_d_32,Academic Spring 2026 (Saturday only),0,0,0,0,0,1,0,20260126,20260313
c_71709_b_86114_d_31,Academic Spring 2026 (Weekday),1,1,1,1,1,0,0,20260126,20260313
c_71709_b_86114_d_127,Academic Spring 2026 (All days of week),1,1,1,1,1,1,1,20260126,20260313
