agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
1653,104,104,College Park Metro Station,,3,https://transportation.umd.edu/104-spring,93c47d,ffffff,1,24,0,1,1,,
1653,118,118,Gold,,3,https://transportation.umd.edu/118-spring,bf9000,000000,10,36,0,1,1,,
1653,122,122,Green,,3,https://transportation.umd.edu/122-spring,38761d,ffffff,11,31,0,1,1,,
1653,125,125,Circulator,,3,,6824aa,,12,,0,1,1,,
1653,126,126,New Carrollton,,3,https://transportation.umd.edu/126-spring,d5a6bd,000000,13,,0,1,1,,
1653,128,128,Mazza GrandMarc/Tempo via North College Park,,3,https://transportation.umd.edu/128-spring,f79646,000000,15,25,0,1,1,,
1653,129,129,Tempo,,3,https://transportation.umd.edu/129-spring,cccccc,000000,16,22,0,1,1,,
1653,132,132,The Varsity,,3,https://transportation.umd.edu/132-spring,6fa8dc,000000,17,30,0,1,1,,
1653,133,133,Grocery Shopping Shuttle,,3,https://transportation.umd.edu/133-spring,ffd966,000000,18,60,0,1,1,,
1653,141,141,Gaithersburg Park & Ride,,3,https://transportation.umd.edu/141-spring,916543,ffffff,19,,0,1,1,,
1653,105,105,Campus Connector,,3,https://transportation.umd.edu/105-spring,6d9eeb,ffffff,2,42,0,1,1,,
1653,142,142,Columbia Park & Ride,,3,https://transportation.umd.edu/142-spring,e2f4c7,000000,20,,0,1,1,,
1653,143,143,Greenbelt,,3,https://transportation.umd.edu/143-spring,6aa84f,000000,21,,0,1,1,,
1653,CP,CP,Football Quickbus - College Park Metro Station,,3,,f6b26b,000000,22,,0,1,1,,
1653,XN,XN,Football Quickbus - Xfinity / North,,3,,8e7cc3,000000,23,,0,1,1,,
1653,SC,SC,Football Quickbus - South Campus,,3,,93c47d,000000,24,,0,1,1,,
1653,XM,XM,Xfinity/Metro - Commencement,,3,,f3931f,,26,40,0,1,1,,
1653,CL,CL,Ceremonies Loop - Commencement,,3,,b3268e,000000,27,40,0,1,1,,
1653,MC,MC,Main Ceremony - Commencement,,3,,73cedd,000000,28,40,0,1,1,,
1653,AC,AC,Armory / Chapel - Commencement,,3,,ec2026,000000,29,,0,1,1,,
1653,108,108,Adelphi,,3,https://transportation.umd.edu/108-spring,dd7e6b,ffffff,3,,0,1,1,,
1653,NHD CP,NHD CP,National History Day - College Park Metro Station,,3,,6ba84c,ffffff,30,30,0,1,1,,
1653,NHD RH,NHD RH,National History Day - Residence Halls,,3,,00519f,ffffff,31,15,0,1,1,,
1653,NHD Evening,NHD Evening,National History Day - Evening Loop,,3,,8e44ad,,32,30,0,1,1,,
1653,NHD DT,NHD DT,National History Day - Downtown College Park,,3,,e4002b,000000,33,30,0,1,1,,
1653,NHD JS,NHD JS,National History Day - Judges Shuttle,,3,,cb9419,ffffff,34,14,0,1,1,,
1653,NHD CC,NHD CC,National History Day - Closing Ceremonies,,3,,b4278e,ffffff,35,12,0,1,1,,
1653,90,BWI,BWI Airport/Rail Station,,3,https://transportation.umd.edu/shuttle-um/charter/break-transportation,f5ac24,,36,240,0,1,1,,
1653,MDay Red,MDay Red,Maryland Day - Red Loop,,3,,e21833,ffffff,37,45,0,1,1,,
1653,MDay Gold,MDay Gold,Maryland Day - Gold Loop,,3,,ffd200,,38,45,0,1,1,,
1653,111,111,Silver Spring,,3,https://transportation.umd.edu/111-spring,e06666,ffffff,4,,0,1,1,,
1653,113,113,Hyattsville,,3,https://transportation.umd.edu/113-spring,f6b26b,000000,5,60,0,1,1,,
1653,114,114,University View,,3,https://transportation.umd.edu/114-spring,8e7cc3,ffffff,6,30,0,1,1,,
1653,115,115,Orange,,3,https://transportation.umd.edu/115-spring,e69138,000000,7,22,0,1,1,,
1653,116,116,Purple,,3,https://transportation.umd.edu/116-spring,674ea7,ffffff,8,32,0,1,1,,
1653,117,117,Blue,,3,https://transportation.umd.edu/117-spring,0b5394,ffffff,9,26,0,1,1,,
