runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_71709_b_86114_d_127,116_1,1,1,t_6138455_b_86114_tn_1,1001,t_6138466_b_86114_tn_1,1001
1000000,c_71709_b_86114_d_31,105_3,10,1,t_6131288_b_86114_tn_0,2305,t_6131291_b_86114_tn_0,2305
10000000,c_71713_b_86117_d_7,104_3,100,1,t_6130763_b_86117_tn_1,1001,t_6130763_b_86117_tn_16,1001
10100000,c_71713_b_86117_d_71,115_1,101,1,t_6138436_b_86117_tn_1,1001,t_6138437_b_86117_tn_12,1001
10200000,c_71714_b_86118_d_120,115_1,102,1,t_6138439_b_86118_tn_1,1001,t_6138440_b_86118_tn_12,1001
10300000,c_71714_b_86118_d_121,116_1,103,1,t_6138494_b_86118_tn_1,1001,t_6138505_b_86118_tn_1,1001
10400000,c_71714_b_86118_d_121,117_1,104,1,t_6138539_b_86118_tn_1,1001,t_6138545_b_86118_tn_4,1001
10500000,c_71714_b_86118_d_121,118_1,105,1,t_6138613_b_86118_tn_0,1001,t_6138616_b_86118_tn_3,1001
10600000,c_71714_b_86118_d_121,122_1,106,1,t_6138663_b_86118_tn_0,1001,t_6138671_b_86118_tn_1,2626
10700000,c_71714_b_86118_d_24,128_1,107,1,t_6138745_b_86118_tn_0,1005,t_6138746_b_86118_tn_23,1005
10800000,c_71714_b_86118_d_24,C_1,108,1,t_6132112_b_86118_tn_0,4320,t_6138724_b_86118_tn_0,6197
10900000,c_71714_b_86118_d_24,C_2,109,1,t_6131383_b_86118_tn_0,4070,t_6131384_b_86118_tn_0,4070
1100000,c_71709_b_86114_d_31,114_1,11,1,t_6134620_b_86114_tn_0,2430,t_6134623_b_86114_tn_0,2430
11000000,c_71714_b_86118_d_25,104_1,110,1,t_6130773_b_86118_tn_1,1001,t_6130775_b_86118_tn_2,1001
11100000,c_71714_b_86118_d_25,104_2,111,1,t_6130774_b_86118_tn_1,1001,t_6130778_b_86118_tn_17,1001
11200000,c_71714_b_86118_d_25,104_3,112,1,t_6130777_b_86118_tn_1,1001,t_6130777_b_86118_tn_16,1001
11300000,c_71714_b_86118_d_32,104_1,113,1,t_6130781_b_86118_tn_1,1001,t_6130782_b_86118_tn_10,1001
11400000,c_71714_b_86118_d_33,128_1,114,1,t_6138748_b_86118_tn_0,1005,t_6138749_b_86118_tn_23,1005
11500000,c_71714_b_86118_d_33,C_1,115,1,t_6132117_b_86118_tn_0,4320,t_6138731_b_86118_tn_0,6197
11600000,c_71714_b_86118_d_33,C_2,116,1,t_6131387_b_86118_tn_0,4070,t_6131388_b_86118_tn_0,4070
11700000,c_71714_b_86118_d_57,105_1,117,1,t_6131311_b_86118_tn_0,2305,t_6131313_b_86118_tn_13,1001
11800000,c_71714_b_86118_d_57,105_2,118,1,t_6131316_b_86118_tn_0,2305,t_6131317_b_86118_tn_0,2305
11900000,c_71714_b_86118_d_57,105_3,119,1,t_6131315_b_86118_tn_0,2305,t_6131318_b_86118_tn_0,2305
1200000,c_71709_b_86114_d_31,114_2,12,1,t_6134619_b_86114_tn_0,2430,t_6134624_b_86114_tn_0,2430
12000000,c_71714_b_86118_d_57,114_3,120,1,t_6134640_b_86118_tn_0,2430,t_6134642_b_86118_tn_0,2430
12100000,c_71714_b_86118_d_57,132_S,121,1,t_6138774_b_86118_tn_0,2445,t_6138775_b_86118_tn_0,2445
12200000,c_71714_b_86118_d_57,141_1,122,1,t_6139313_b_86118_tn_0,4999,t_6139318_b_86118_tn_0,4999
12300000,c_71714_b_86118_d_57,142_1,123,1,t_6139347_b_86118_tn_0,3999,t_6139356_b_86118_tn_0,3999
12400000,c_71714_b_86118_d_64,104_1,124,1,t_6130784_b_86118_tn_1,1001,t_6130785_b_86118_tn_10,1001
12500000,c_71714_b_86118_d_64,133_1,125,1,t_6138786_b_86118_tn_1,1001,t_6138787_b_86118_tn_10,1001
1300000,c_71709_b_86114_d_31,114_3,13,1,t_6134617_b_86114_tn_0,2430,t_6134618_b_86114_tn_0,2430
1400000,c_71709_b_86114_d_31,128_1,14,1,t_6138736_b_86114_tn_0,1005,t_6138737_b_86114_tn_23,1005
1500000,c_71709_b_86114_d_31,132_1,15,1,t_6138757_b_86114_tn_0,2445,t_6138760_b_86114_tn_0,2445
1600000,c_71709_b_86114_d_31,132_2,16,1,t_6138758_b_86114_tn_0,2445,t_6138759_b_86114_tn_0,2445
1700000,c_71709_b_86114_d_31,141_1,17,1,t_6138789_b_86114_tn_0,4999,t_6138794_b_86114_tn_0,4999
1800000,c_71709_b_86114_d_31,142_1,18,1,t_6139242_b_86114_tn_0,3999,t_6139251_b_86114_tn_0,3999
1900000,c_71709_b_86114_d_31,C_1,19,1,t_6132097_b_86114_tn_0,4320,t_6138703_b_86114_tn_0,6197
200000,c_71709_b_86114_d_127,117_1,2,1,t_6138515_b_86114_tn_1,1001,t_6138521_b_86114_tn_4,1001
2000000,c_71709_b_86114_d_31,C_2,20,1,t_6131371_b_86114_tn_0,4070,t_6131372_b_86114_tn_0,4070
2100000,c_71709_b_86114_d_32,104_1,21,1,t_6130737_b_86114_tn_1,1001,t_6130738_b_86114_tn_10,1001
2200000,c_71709_b_86114_d_56,115_1,22,1,t_6138414_b_86114_tn_1,1001,t_6138422_b_86114_tn_10,1001
2300000,c_71709_b_86114_d_56,115_2,23,1,t_6138416_b_86114_tn_1,1001,t_6138421_b_86114_tn_2,1001
2400000,c_71709_b_86114_d_56,115_3,24,1,t_6138415_b_86114_tn_1,1001,t_6138419_b_86114_tn_2,1001
2500000,c_71709_b_86114_d_64,104_1,25,1,t_6130740_b_86114_tn_1,1001,t_6130741_b_86114_tn_10,1001
2600000,c_71709_b_86114_d_64,133_1,26,1,t_6138780_b_86114_tn_1,1001,t_6138781_b_86114_tn_10,1001
2700000,c_71709_b_86114_d_71,115_1,27,1,t_6138411_b_86114_tn_1,1001,t_6138412_b_86114_tn_12,1001
2800000,c_71709_b_86120_d_127,116_1,28,1,t_6138455_b_86120_tn_1,1001,t_6138466_b_86120_tn_1,1001
2900000,c_71709_b_86120_d_127,117_1,29,1,t_6138515_b_86120_tn_1,1001,t_6138521_b_86120_tn_4,1001
300000,c_71709_b_86114_d_127,118_1,3,1,t_6138580_b_86114_tn_0,1001,t_6138583_b_86114_tn_3,1001
3000000,c_71709_b_86120_d_127,118_1,30,1,t_6138580_b_86120_tn_0,1001,t_6138583_b_86120_tn_3,1001
3100000,c_71709_b_86120_d_127,122_1,31,1,t_6138633_b_86120_tn_0,1001,t_6138641_b_86120_tn_1,2626
3200000,c_71709_b_86120_d_31,104_1,32,1,t_6130729_b_86120_tn_1,1001,t_6130731_b_86120_tn_2,1001
3300000,c_71709_b_86120_d_31,104_2,33,1,t_6130730_b_86120_tn_1,1001,t_6130734_b_86120_tn_17,1001
3400000,c_71709_b_86120_d_31,104_3,34,1,t_6130733_b_86120_tn_1,1001,t_6130733_b_86120_tn_16,1001
3500000,c_71709_b_86120_d_31,105_1,35,1,t_6131284_b_86120_tn_0,2305,t_6131286_b_86120_tn_13,1001
3600000,c_71709_b_86120_d_31,105_2,36,1,t_6131289_b_86120_tn_0,2305,t_6131290_b_86120_tn_0,2305
3700000,c_71709_b_86120_d_31,105_3,37,1,t_6131288_b_86120_tn_0,2305,t_6131291_b_86120_tn_0,2305
3800000,c_71709_b_86120_d_31,114_1,38,1,t_6134620_b_86120_tn_0,2430,t_6134623_b_86120_tn_0,2430
3900000,c_71709_b_86120_d_31,114_2,39,1,t_6134619_b_86120_tn_0,2430,t_6134624_b_86120_tn_0,2430
400000,c_71709_b_86114_d_127,122_1,4,1,t_6138633_b_86114_tn_0,1001,t_6138641_b_86114_tn_1,2626
4000000,c_71709_b_86120_d_31,114_3,40,1,t_6134617_b_86120_tn_0,2430,t_6134618_b_86120_tn_0,2430
4100000,c_71709_b_86120_d_31,128_1,41,1,t_6138736_b_86120_tn_0,1005,t_6138737_b_86120_tn_23,1005
4200000,c_71709_b_86120_d_31,132_1,42,1,t_6138757_b_86120_tn_0,2445,t_6138760_b_86120_tn_0,2445
4300000,c_71709_b_86120_d_31,132_2,43,1,t_6138758_b_86120_tn_0,2445,t_6138759_b_86120_tn_0,2445
4400000,c_71709_b_86120_d_31,141_1,44,1,t_6138789_b_86120_tn_0,4999,t_6138794_b_86120_tn_0,4999
4500000,c_71709_b_86120_d_31,142_1,45,1,t_6139242_b_86120_tn_0,3999,t_6139251_b_86120_tn_0,3999
4600000,c_71709_b_86120_d_31,C_1,46,1,t_6132097_b_86120_tn_0,4320,t_6138703_b_86120_tn_0,6197
4700000,c_71709_b_86120_d_31,C_2,47,1,t_6131371_b_86120_tn_0,4070,t_6131372_b_86120_tn_0,4070
